"word";"freq";"pos"
"French";22;"adjective"
"Inspector";10;"noun"
"Lord";7;"noun"
"Pole";6;"noun"
"President";71;"noun"
"Sunday";98;"noun"
"Thursday";21;"noun"
"Tuesday";8;"noun"
"accent";9;"noun"
"accident";10;"noun"
"action";5;"noun"
"actor";5;"noun"
"actual";7;"adjective"
"address";11;"noun"
"adventure";6;"noun"
"advice";6;"noun"
"afraid";12;"adjective"
"air";14;"noun"
"alive";8;"adjective"
"ally";5;"noun"
"anarchist";74;"noun"
"anger";6;"noun"
"animal";9;"noun"
"answer";43;"noun"
"apology";5;"noun"
"appearance";8;"noun"
"approach";6;"noun"
"arm";9;"noun"
"army";10;"noun"
"arrest";5;"noun"
"art";6;"noun"
"artist";5;"noun"
"artistic";5;"adjective"
"atmosphere";5;"noun"
"attack";7;"noun"
"attempt";7;"noun"
"aunt";6;"noun"
"awful";9;"adjective"
"bad";12;"adjective"
"ball";6;"noun"
"balloon";16;"noun"
"band";6;"noun"
"bank";8;"noun"
"battle";5;"noun"
"beach";5;"noun"
"bear";36;"noun"
"beast";15;"noun"
"beautiful";9;"adjective"
"bed";16;"noun"
"bench";8;"noun"
"bent";8;"adjective"
"bishop";5;"noun"
"bit";10;"noun"
"black";68;"adjective"
"black";68;"noun"
"blade";6;"noun"
"blast";6;"noun"
"blind";13;"adjective"
"block";5;"noun"
"blood";10;"noun"
"blow";5;"noun"
"blue";39;"adjective"
"blue";39;"noun"
"boat";7;"noun"
"body";10;"noun"
"bomb";19;"noun"
"boot";11;"noun"
"boy";9;"noun"
"brain";8;"noun"
"branch";9;"noun"
"brave";5;"adjective"
"break";14;"noun"
"breakfast";12;"noun"
"bright";16;"adjective"
"broad";14;"adjective"
"broke";23;"adjective"
"broken";18;"adjective"
"brown";8;"adjective"
"brown";8;"noun"
"brutal";8;"adjective"
"building";9;"noun"
"bulk";10;"noun"
"business";8;"noun"
"cab";21;"noun"
"calm";13;"adjective"
"calm";13;"noun"
"capture";6;"noun"
"car";20;"noun"
"card";18;"noun"
"care";12;"noun"
"careful";7;"adjective"
"carriage";16;"noun"
"catch";11;"noun"
"ceiling";5;"noun"
"central";8;"adjective"
"chair";16;"noun"
"chairman";9;"noun"
"chance";16;"noun"
"change";7;"noun"
"chaos";6;"noun"
"character";5;"noun"
"charge";6;"noun"
"cheerful";6;"adjective"
"child";7;"noun"
"church";6;"noun"
"cigarette";5;"noun"
"class";7;"noun"
"clever";7;"adjective"
"close";21;"adjective"
"close";21;"noun"
"clothes";17;"noun"
"cloud";25;"noun"
"coat";12;"noun"
"coffee";6;"noun"
"cold";14;"adjective"
"cold";14;"noun"
"colour";9;"noun"
"comfort";6;"noun"
"common";27;"adjective"
"companion";7;"noun"
"company";12;"noun"
"comrade";39;"noun"
"considerable";6;"adjective"
"contrast";9;"noun"
"control";5;"noun"
"conversation";13;"noun"
"corner";17;"noun"
"costume";9;"noun"
"council";27;"noun"
"country";6;"noun"
"covered";5;"adjective"
"crazy";5;"adjective"
"creation";7;"noun"
"creature";5;"noun"
"crime";15;"noun"
"criminal";10;"adjective"
"criminal";10;"noun"
"cross";12;"noun"
"cruel";5;"adjective"
"curiosity";10;"noun"
"curious";11;"adjective"
"curve";6;"noun"
"cut";11;"noun"
"dancing";14;"noun"
"dangerous";12;"adjective"
"dark";48;"adjective"
"dark";48;"noun"
"darkness";13;"noun"
"dawn";5;"noun"
"day";24;"noun"
"dead";25;"adjective"
"death";16;"noun"
"decision";6;"noun"
"deep";12;"adjective"
"desperate";10;"adjective"
"detective";28;"noun"
"devil";15;"noun"
"difference";7;"noun"
"difficulty";5;"noun"
"discipline";5;"noun"
"distance";10;"noun"
"distant";10;"adjective"
"doctor";23;"noun"
"door";17;"noun"
"doubt";13;"noun"
"dream";11;"noun"
"dress";27;"noun"
